rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
18,Michigan St.,B10,20-15,113.32857028538112,55,93.48397053136605,9,0.9014788338733779,18,20,15,10,10,10-10,0.7480236486961461,0.6008011742782746,0.8024193543591697,0.7480236486961461,0.6008011742782746,0.8024193543591697,0.6538408187658782,0.7574191227851632,113.61876476413579,100.93868144048713,113.61876476413579,100.93868144048713,112.95513210767828,96.52359313570034,133.66242245380502,112.41065408919708,0.8798832091598395,13,-0.08525393136245685,1397.0,1350.0,1299.75,1.0748220811694558,1.03866128101558,0,0.5,-0.1905655858301467,56,344,65.36190945702477
19,Texas,B12,21-13,116.62225812444441,29,96.52636797538912,25,0.8979750823438256,19,21,13,9,9,9-9,0.6914865866101345,0.4646858481732193,0.8274872089022627,0.6914865866101345,0.4646858481732193,0.8274872089022627,0.6626819084909518,0.8237920360123402,110.77711411106668,100.36008165875722,110.77711411106668,100.36008165875722,119.88387237778167,99.83143432578676,124.60530709791956,104.39521897394388,0.884435847544238,15,-0.041654308212472846,1346.0,1322.0,1219.525,1.1037084110616837,1.084028617699514,0,0.5,0.6603164231075785,46,276,67.36116247143681
20,Clemson,ACC,24-12,117.6549223430316,23,97.4006344354531,34,0.8977634282082438,20,24,12,11,9,11-9,0.7335320691831549,0.6047804100158619,0.7674283123704635,0.7335320691831549,0.6047804100158619,0.7674283123704635,0.6784523803927475,0.7827552735906277,112.84142163733414,101.37713600723926,112.84142163733414,101.37713600723926,118.76554365664124,100.35999855347916,122.42128422722176,95.79932798540894,0.9437441262305611,13,-0.007463770201134312,1514.0,1446.0,1350.6125,1.1209728919286621,1.0706253644179955,0,0.55,1.0401844578884472,41,187,66.28035420680041
21,Kansas,B12,23-11,113.74546002431538,51,94.22103899083723,13,0.8971245724006415,21,23,11,10,8,10-8,0.7236329755416631,0.5486281245277908,0.8313170704838517,0.7236329755416631,0.5486281245277908,0.8313170704838517,0.6461070762047094,0.7475447320562101,112.27381036382995,99.3656652982274,112.27381036382995,99.3656652982274,116.27708794873534,94.52996982379271,115.67085212570215,96.66139557253733,0.8874193286566924,15,0.035708691741649035,1321.0,1277.0,1241.925,1.0636713167059202,1.028242446202468,0,0.5555555555555556,3.7713955243817594,14,95,69.00739493580396
22,Florida,SEC,24-12,120.54652075572648,11,100.18170996932986,76,0.8936022389554008,22,24,12,11,7,11-7,0.7042363109513793,0.552143333375411,0.765448851547358,0.7042363109513793,0.552143333375411,0.765448851547358,0.6829608037711059,0.8003499855343648,111.79865543752413,101.4271401251457,111.79865543752413,101.4271401251457,121.18130242916008,100.60459484178031,127.87148021125617,104.01801232333615,0.9148471106147742,15,-0.0045576114479704,1509.0,1447.0,1313.85,1.1485329375499487,1.1013433801423298,0,0.6111111111111112,2.7714146112211275,21,181,71.80798700609603
23,Colorado,P12,26-11,118.30195973602163,21,98.62141501806737,45,0.8901668909197702,23,26,11,13,7,13-7,0.6912565363765608,0.48360956566381197,0.7524016179452063,0.6912565363765608,0.48360956566381197,0.7524016179452063,0.717500253293467,0.8604472402950322,110.18768391033666,101.05632314466732,110.18768391033666,101.05632314466732,117.5566076944245,100.32826344521071,117.67369157582539,102.74122885844069,0.8264355304027017,12,0.002728042839908018,1550.0,1476.0,1393.4000000000003,1.1123869671307591,1.0592794603129034,0,0.65,1.6767273898207047,30,165,67.6924509516983
24,BYU,B12,23-11,119.83586271874967,14,99.94261450385528,70,0.8896880406507076,24,23,11,10,8,10-8,0.6655844775729649,0.4076970601444862,0.8291473247145749,0.6655844775729649,0.4076970601444862,0.8291473247145749,0.7047369941591973,0.8753395964097934,109.10096545398741,101.03618821957578,109.10096545398741,101.03618821957578,120.73971696972058,101.04151952257389,137.3282067352096,113.82180377013233,0.8965073357562819,13,-0.01075496631396311,1372.0,1353.0,1247.575,1.0997334829569365,1.0845039376390198,0,0.5555555555555556,2.3056021036667236,25,199,69.08243960331933
25,Wisconsin,B10,22-14,118.82422470365498,19,99.13901127428466,59,0.8892306166016847,25,22,14,11,9,11-9,0.7607208847562553,0.6055357506011813,0.8214248984556065,0.7607208847562553,0.6055357506011813,0.8214248984556065,0.6370840569331704,0.7279618543764197,112.40201219943707,99.12295977625502,112.40201219943707,99.12295977625502,120.6122695038301,100.49559856526466,135.3645204713894,109.50011002073938,0.9197183184558111,16,-0.004679996443177625,1487.0,1441.0,1328.1375000000003,1.1196129918777233,1.084978023736247,0,0.55,2.900327925210629,18,182,65.24703551375762
26,Nebraska,B10,23-11,115.9836141763277,30,96.85674714763154,29,0.8881997150374502,26,23,11,12,8,12-8,0.6804308066795745,0.4225238949167368,0.7975036435314806,0.6804308066795745,0.4225238949167368,0.7975036435314806,0.7131349513830051,0.8786516901335318,110.14867189570113,101.45647820563612,110.14867189570113,101.45647820563612,115.98945535061375,96.79722017392383,130.29172099050461,117.60657182516398,0.7645802345816572,11,-0.015961628229808955,1513.0,1444.0,1389.0750000000003,1.089214045317927,1.0395407015459925,0,0.6,1.9501035973539174,27,221,68.9557575449277
27,Kentucky,SEC,23-10,122.7276431439721,6,102.6582905256516,124,0.8862967340299184,27,23,10,13,5,13-5,0.6662820951810026,0.5023187742077304,0.7765189257427548,0.6662820951810026,0.5023187742077304,0.7765189257427548,0.7102905887070501,0.8276970986668483,110.77512166670894,102.26179841450791,110.77512166670894,102.26179841450791,124.54941715903757,101.9261414898064,133.9649519888367,109.90688490677684,0.9069005170489809,13,0.008783009985316448,1597.0,1483.0,1350.3500000000001,1.1826563483541304,1.0982337912393083,0,0.7222222222222222,2.7886614954437987,19,155,72.51184068640677
28,San Diego St.,MWC,26-11,111.9693653990596,71,94.14269845718877,12,0.8801927297482461,28,26,11,11,7,11-7,0.6706107830654973,0.5864318027906725,0.6840828002280188,0.6706107830654973,0.5864318027906725,0.6840828002280188,0.7095253614948885,0.7432168998216788,111.8295180488341,101.48896726197222,111.8295180488341,101.48896726197222,111.44107140730748,93.96041671087592,114.61655020660041,99.34053517404838,0.838206398585663,12,0.02620259628719801,1305.0,1184.0,1207.0874999999999,1.0811146665009788,0.980873383246865,0,0.6111111111111112,2.1719816440472277,26,112,66.16862646914544
29,New Mexico,MWC,26-10,113.89777159500933,48,95.98224888842935,23,0.8774055375739955,29,26,10,10,8,10-8,0.6190475470097623,0.4587159669073774,0.693950270144394,0.6190475470097623,0.4587159669073774,0.693950270144394,0.763459561452647,0.8731559712766711,109.46590661744767,102.8728694839729,109.46590661744767,102.8728694839729,116.65722065889408,99.4835949193054,117.13045679337218,100.85019198813318,0.8482575784979952,11,-0.007370721141666592,1461.0,1351.0,1297.0749999999998,1.1263805099936397,1.0415743114314902,0,0.5555555555555556,1.484534182578045,33,186,72.8399610524179
30,Pittsburgh,ACC,22-11,116.72503475026235,27,98.84585999627659,53,0.8712417381746547,30,22,11,12,8,12-8,0.6538386372803422,0.38602651561496226,0.7765582987009324,0.6538386372803422,0.38602651561496226,0.7765582987009324,0.724315792282374,0.9010143059084968,110.00512430669974,102.26381689481835,110.00512430669974,102.26381689481835,116.7230478524897,101.2677633111054,133.10114391290932,117.14119646804765,0.812888157955241,11,-0.01208961096504435,1446.0,1409.0,1305.7875000000001,1.107377731828494,1.0790423403501717,0,0.6,0.6116226080903274,48,206,65.92538571894671
31,Villanova,BE,18-16,110.43926261302191,91,93.79654915437264,10,0.8674252736550796,31,18,16,10,10,10-10,0.712373166737078,0.6231334799374303,0.774708862469571,0.712373166737078,0.6231334799374303,0.774708862469571,0.6650396973573052,0.7777029612558223,112.0931750774707,100.74526054694547,112.0931750774707,100.74526054694547,111.93247522722817,93.39607462338313,124.36269511435212,108.10246543384358,0.83360724063383,15,-0.08252505927330722,1399.0,1321.0,1309.175,1.0686119120820365,1.009032405904482,0,0.5,-1.1509840697365081,68,340,63.65671607741744
32,Texas Tech,B12,23-11,116.88719823975379,25,99.31459608508261,62,0.866867725944924,32,23,11,11,7,11-7,0.6948699673076039,0.4643286295066412,0.8270223547392758,0.6948699673076039,0.4643286295066412,0.8270223547392758,0.6868722388800809,0.8712582879361814,110.56788068159898,100.52590397627213,110.56788068159898,100.52590397627213,118.9182755834194,100.84116637928018,122.75800635490657,104.92239650153623,0.8588087529850077,15,0.041920288303489595,1340.0,1301.0,1207.85,1.1094092809537608,1.0771205033737634,0,0.6111111111111112,2.781122347874826,20,84,66.54098059642851
33,Texas A&M,SEC,21-15,117.70431193615423,22,100.02500544711413,71,0.8666534206476265,33,21,15,9,9,9-9,0.7149082741031836,0.5680025120486232,0.775207941515711,0.7149082741031836,0.5680025120486232,0.775207941515711,0.6533438699832239,0.7145136785957239,111.92835104313338,100.99381554440589,111.92835104313338,100.99381554440589,111.28773497334134,97.26932030922758,132.72048551855568,109.37485773088571,0.9024579907229416,14,-0.014015875780344578,1286.0,1289.0,1223.5874999999999,1.0510077947020546,1.0534596013770983,0,0.5,-0.05829836111030717,55,211,66.12206401624454
34,Mississippi St.,SEC,21-14,112.26156183706246,67,95.50554708981412,21,0.865173663897224,34,21,14,8,10,8-10,0.7086635062902676,0.5171489392375664,0.8080191360556018,0.7086635062902676,0.5171489392375664,0.8080191360556018,0.6751573282457382,0.8464331658514944,112.07463824753309,101.19949581356106,112.07463824753309,101.19949581356106,113.47254846536772,98.3770029512441,118.69217722755504,102.33203289463391,0.84626112377381,15,-0.017140043019806095,1342.0,1344.0,1238.9249999999997,1.0831971265411549,1.084811429263273,0,0.4444444444444444,0.589184176925827,50,228,67.14833429781815
35,Wake Forest,ACC,21-14,116.99526514742305,24,99.73942307364372,69,0.8623661639197456,35,21,14,11,9,11-9,0.677545701670646,0.4781290423484641,0.7812608308992858,0.677545701670646,0.4781290423484641,0.7812608308992858,0.7258315841687658,0.8462356100520657,109.22998713406186,100.90255906877753,109.22998713406186,100.90255906877753,118.38640114446129,96.90074771978709,126.35915345606846,105.94970133024748,0.8834880397149438,12,-0.06514722375770121,1549.0,1433.0,1386.0124999999996,1.1175945382887964,1.0339012094046773,0,0.55,-1.0470766730657255,66,311,68.27639801019151
36,Nevada,MWC,26-8,115.01286580325848,37,98.0992603460189,38,0.8616709231728248,36,26,8,13,5,13-5,0.5893594304560852,0.44848432243971553,0.6700122853139704,0.5893594304560852,0.44848432243971553,0.6700122853139704,0.7764166424210167,0.867706877916915,108.69240017294776,103.65914988916003,108.69240017294776,103.65914988916003,116.6926793326525,99.64721717540273,119.33592566016205,101.43752183364018,0.8663127239098566,11,0.04178799162377478,1329.0,1227.0,1178.45,1.1277525563239847,1.0411981840553268,0,0.7222222222222222,2.4564421541514987,22,86,66.8629794690027
37,Northwestern,B10,22-12,115.6607575022758,34,98.82715253586122,51,0.8592196399775635,37,22,12,12,8,12-8,0.6827488015048249,0.36501984020149847,0.8256451364773267,0.6827488015048249,0.36501984020149847,0.8256451364773267,0.6814866722719103,0.9042703709715699,111.36160277188925,101.64893583757107,111.36160277188925,101.64893583757107,121.97438576201182,101.01496242908588,134.881498242383,113.78179208695326,0.8761332786039279,12,0.028944817834141268,1514.0,1469.0,1330.8125,1.1376508711783215,1.1038369417179354,0,0.6,1.1090132976166756,39,105,64.03210177961611
38,Seton Hall,BE,25-12,113.12569605824103,57,96.89594229324055,30,0.8558094416807799,38,25,12,13,7,13-7,0.6882557263761673,0.4811374692466019,0.7758848931597465,0.6882557263761673,0.4811374692466019,0.7758848931597465,0.683235163671635,0.8455586138369878,111.38016793164358,101.16674491154414,111.38016793164358,101.16674491154414,112.72532141306283,94.42747661974381,123.46596625229213,107.70770315853342,0.8278208136433507,15,0.05853709955962694,1425.0,1391.0,1352.275,1.0537797415466528,1.0286369266606274,0,0.65,0.8938071682991637,43,58,66.57089432528994
39,Washington St.,P12,25-10,112.84476053263157,60,96.71768499754432,26,0.8548915507104676,39,25,10,14,6,14-6,0.6584109930500891,0.4068079971788696,0.7607263983096493,0.6584109930500891,0.4068079971788696,0.7607263983096493,0.7313103139508077,0.8880951548975122,109.64051449063737,101.92464445438704,109.64051449063737,101.92464445438704,114.80518306169799,98.95995648775614,127.52520532895483,107.37806860996976,0.8784163167258414,11,0.051422174148065714,1470.0,1400.0,1340.4875,1.0966159699363105,1.0443961618441053,0,0.7,1.8320101538533886,29,70,64.83667136216093
40,Utah,P12,22-15,114.17238255236582,46,97.87052385230038,37,0.8546734467538003,40,22,15,9,11,9-11,0.7072388004895811,0.5982677393800246,0.7559832898925175,0.7072388004895811,0.5982677393800246,0.7559832898925175,0.7015277941977591,0.723520572160371,111.23407668205274,100.93225487671778,111.23407668205274,100.93225487671778,112.63990955451516,100.0167767695718,125.49105748031992,112.62222563420036,0.7763024560009566,14,-0.03464982772006897,1541.0,1515.0,1435.1625000000001,1.073746004372327,1.0556295889838259,0,0.45,-1.235830196067269,70,263,69.90131960212005
41,Ohio St.,B10,22-14,115.0367597473151,36,98.68484924543247,46,0.8536079104860528,41,22,14,9,11,9-11,0.6960206394139572,0.4827118566992202,0.7961087382889795,0.6960206394139572,0.4827118566992202,0.7961087382889795,0.7170751867914524,0.8576619783426896,110.97617376339662,101.5181439767215,110.97617376339662,101.5181439767215,115.86710030375154,101.03093518496347,127.13560510360841,110.65005595012131,0.8316182202536926,11,-0.03091905305721032,1441.0,1451.0,1333.25,1.0808175510969436,1.0883180198762423,0,0.45,-0.6010813569409352,61,252,66.19518963208598
42,Indiana St.,MVC,32-7,119.60917726097523,16,102.69677067620711,125,0.8523512219761462,42,32,7,17,3,17-3,0.5547778925711293,0.3870647818208006,0.568812780431158,0.5547778925711293,0.3870647818208006,0.568812780431158,0.813816202001121,0.8402402547996484,107.1450973255708,104.01845403436639,107.1450973255708,104.01845403436639,118.74344927036239,100.40402961472581,124.49357603122711,106.77733914114027,0.853878009898646,6,0.06634158639188004,1650.0,1421.0,1416.875,1.164534627260697,1.0029113365681517,0,0.85,1.8624222839698397,28,44,70.72575526686217
43,Colorado St.,MWC,25-11,112.78841797624423,61,96.84670529662445,28,0.8522576847195716,43,25,11,10,8,10-8,0.6468585008386127,0.5339618706810642,0.6965004885524502,0.6468585008386127,0.5339618706810642,0.6965004885524502,0.7410025437186185,0.8130238001890946,111.04634987465106,102.24059276161485,111.04634987465106,102.24059276161485,111.9071636746829,97.98177473517687,123.62383138416685,104.5903652039808,0.8724399792612545,13,0.026994832337728925,1277.0,1223.0,1188.875,1.0741246977184313,1.0287036063505415,0,0.5555555555555556,1.103567076803661,40,109,66.0491927338462
44,Boise St.,MWC,22-11,113.67431849995305,52,97.779499047193,35,0.8496884435884235,44,22,11,13,5,13-5,0.6400140090280483,0.5663686217020879,0.6661165437390976,0.6400140090280483,0.5663686217020879,0.6661165437390976,0.7356574987305312,0.7730429658191211,109.96935734748776,101.28699503910251,109.96935734748776,101.28699503910251,116.29301431556809,99.62693191082772,113.41447636643214,98.27997486135051,0.8385028671742848,12,0.006704846858982871,1374.0,1232.0,1199.1999999999998,1.145763842561708,1.0273515677118081,0,0.7222222222222222,0.657174931735838,47,162,66.48292699649855
45,Cincinnati,B12,22-15,111.30207281502322,78,95.74837234349762,22,0.8495439815856128,45,22,15,7,11,7-11,0.6755802052751284,0.41765418213480454,0.8228707154560662,0.6755802052751284,0.41765418213480454,0.8228707154560662,0.7002648157409572,0.897090531011581,110.22560920187182,101.02219691731689,110.22560920187182,101.02219691731689,110.29463491846116,95.53093105324889,111.35959623010598,96.21403302399168,0.8430603923518472,15,-0.032466017037262485,1252.0,1247.0,1226.4375,1.0208428884472303,1.016766039851195,0,0.3888888888888889,-1.376582474066303,72,257,67.38582738605011
46,TCU,B12,21-13,113.99320861443013,47,98.15870241827628,39,0.8481111704404367,46,21,13,9,9,9-9,0.6566430474501885,0.3595638960285696,0.8352217369859454,0.6566430474501885,0.3595638960285696,0.8352217369859454,0.6842989725936349,0.8854445027448085,109.38612173831746,101.49739680950684,109.38612173831746,101.49739680950684,117.90991409106108,99.4610860898259,128.1278589653255,111.69913198640819,0.8289248940644456,14,0.009503499782574143,1378.0,1357.0,1265.125,1.0892204327635608,1.072621282481968,0,0.5,0.8505073861198764,44,153,70.00369652641847
47,Dayton,A10,25-8,116.73965436817747,26,100.60146147743427,81,0.846961300979497,47,25,8,14,4,14-4,0.6469573537922199,0.6333814388184968,0.6212425188137238,0.6469573537922199,0.6333814388184968,0.6212425188137238,0.7522050892333673,0.7263859079735929,108.76360425782563,101.75058117092605,108.76360425782563,101.75058117092605,117.21771579118051,99.37538128107762,127.37715044344164,107.98008470257125,0.8698761320084808,6,0.082139514440277,1367.0,1203.0,1190.3374999999999,1.1484137902065592,1.0106377392966281,0,0.7777777777777778,2.321009771057363,24,26,64.18668769839971
48,N.C. State,ACC,26-15,114.2298406764904,44,99.10799502882796,58,0.8365840470438972,48,26,15,9,11,9-11,0.6982445609328349,0.4193326368771791,0.7905160494572101,0.6982445609328349,0.4193326368771791,0.7905160494572101,0.6757898455826636,0.8393161585197867,111.09819169227241,100.98151176666107,111.09819169227241,100.98151176666107,113.18823471233063,101.30528830851969,117.62679614967239,98.02783485967318,0.8905188716978893,16,0.05551787978922351,1467.0,1493.0,1378.2125,1.0644222135556018,1.0832872289287754,0,0.45,-0.42435535637111055,59,64,67.73412566101771
